Id,target
0,114.79219630766123
1,118.18116142600655
2,-21.705912232951093
3,-44.25588754213382
4,-96.03680096604812
5,-44.56569865614556
6,-75.81322138642001
7,23.796951793574728
8,174.1348538019507
9,173.17940475451627
10,-105.61055120458796
11,-20.647256185183767
12,-3.928183291444821
13,123.1828294387132
14,40.648048661312245
15,45.94332668844207
16,-189.85020210531175
17,22.62581200587836
18,11.561358766707068
19,136.74384062706616
20,65.19750697439048
21,-61.99208983128939
22,-108.34094225957662
23,-7.4128980806388665
24,-58.32009871678075
25,12.028670933794473
26,29.50225523156687
27,108.07769462677514
28,24.20533127189135
29,-26.272725927383508
30,111.58440294065387
31,-44.864640435864445
32,217.3261752977984
33,-13.965501850218118
34,-228.94361124020816
35,155.11660423338353
36,-2.0513943703306436
37,12.63900612730716
38,-308.74565613231124
39,77.62753528048074
40,-81.23871827811651
41,-206.98424709886203
42,-238.96725499519042
43,135.00900303446988
44,-73.60799117431337
45,105.58264585484292
46,-3.3323962139962227
47,20.722541854489716
48,-98.0462830516216
49,-27.397430813790837
50,10.850645652922957
51,-174.61154647099917
52,65.51126610240229
53,-97.7010883746108
54,-106.29583744686991
55,-156.18095861333694
56,62.63503054187069
57,108.98153311478576
58,-74.78032342632893
59,41.73987672388161
60,41.411280833277445
61,-50.677980277240124
62,165.19465112800626
63,43.70237599788301
64,57.0164962029081
65,24.15008476382132
66,81.78143047692299
67,-1.90625029861173
68,-2.986983656897417
69,1.8295017632745694
70,-24.071529445764863
71,162.0698221420621
72,-40.943690153024804
73,21.702758452596488
74,-66.43584064130506
75,-69.42681379439784
76,37.21678082872296
77,-160.50499739537872
78,-1.681611224834061
79,151.6169807069059
80,-38.0861397263307
81,-120.59351351400932
82,-194.81149985296142
83,36.42032710719805
84,146.74659149654022
85,272.01010494373406
86,-257.34371195857597
87,-88.40909367643528
88,76.31840839542095
89,-90.09266580045313
90,-49.46288530603137
91,125.91357102521803
92,-164.1266249796645
93,-116.99598031173593
94,48.663242086226745
95,98.35281820536568
96,-215.95315081980004
97,-121.3603896222089
